Proportion,Layers,Nodes,Activations,Returns,36_Returns,60_Returns,Deployed_Capital,36_Deployed,60_Deployed
2.2125000000000004,7,"[41, 63, 59, 58, 62, 33, 30]","['relu', 'softmax', 'tanh', 'tanh', 'tanh', 'tanh', 'relu']",3.5776,4.4189,1.9794,2268835675.0,1486414450.0,782421225.0
2.375,7,"[22, 56, 18, 36, 18, 27, 54]","['tanh', 'relu', 'relu', 'tanh', 'relu', 'softmax', 'relu']",3.5883,4.5114,1.8316,2273975325.0,1490689300.0,783286025.0
2.5375,7,"[50, 59, 60, 20, 43, 45, 50]","['relu', 'tanh', 'softmax', 'softmax', 'tanh', 'softmax', 'relu']",3.4928,4.4196,1.7185,2270804475.0,1491660025.0,779144450.0
2.7,7,"[29, 60, 62, 30, 22, 37, 32]","['softmax', 'tanh', 'softmax', 'tanh', 'tanh', 'softmax', 'tanh']",3.5075,4.4937,1.6414,2275350300.0,1488613825.0,786736475.0
2.8625000000000003,7,"[62, 35, 28, 63, 34, 59, 16]","['relu', 'relu', 'softmax', 'relu', 'tanh', 'relu', 'softmax']",3.4518,4.413,1.6286,2276282700.0,1490447650.0,785835050.0
3.0250000000000004,7,"[62, 62, 59, 52, 32, 43, 26]","['relu', 'tanh', 'softmax', 'relu', 'relu', 'tanh', 'softmax']",3.5395,4.5087,1.6801,2274722600.0,1495319475.0,779403125.0
3.1875,7,"[42, 46, 21, 46, 50, 43, 21]","['tanh', 'tanh', 'softmax', 'tanh', 'relu', 'tanh', 'relu']",3.5714,4.4962,1.8089,2274082925.0,1491521050.0,782561875.0
3.35,7,"[21, 41, 51, 62, 49, 46, 32]","['tanh', 'relu', 'relu', 'softmax', 'softmax', 'softmax', 'softmax']",3.5717,4.525,1.7808,2275252100.0,1484859775.0,790392325.0
3.5125,7,"[30, 62, 60, 60, 36, 55, 51]","['softmax', 'softmax', 'tanh', 'relu', 'softmax', 'tanh', 'relu']",3.6046,4.4334,2.0241,2271707775.0,1490218725.0,781489050.0
3.6750000000000003,7,"[61, 16, 36, 26, 39, 26, 60]","['relu', 'relu', 'softmax', 'tanh', 'softmax', 'tanh', 'relu']",3.4805,4.491,1.5618,2278899300.0,1492699450.0,786199850.0
3.8375000000000004,7,"[21, 46, 48, 45, 16, 58, 20]","['softmax', 'tanh', 'tanh', 'tanh', 'tanh', 'softmax', 'relu']",3.4322,4.4658,1.4455,2269580175.0,1492880200.0,776699975.0
4.0,7,"[52, 37, 51, 53, 39, 44, 63]","['tanh', 'relu', 'softmax', 'tanh', 'tanh', 'tanh', 'softmax']",3.4657,4.4011,1.7012,2271618825.0,1484631575.0,786987250.0
0.1,8,"[19, 34, 39, 35, 23, 43, 56, 35]","['tanh', 'softmax', 'softmax', 'softmax', 'softmax', 'tanh', 'softmax', 'relu']",,,,0.0,0.0,0.0
0.2625,8,"[39, 48, 37, 42, 26, 23, 41, 26]","['softmax', 'relu', 'softmax', 'relu', 'tanh', 'tanh', 'softmax', 'relu']",,,,0.0,0.0,0.0
0.42500000000000004,8,"[29, 44, 50, 57, 48, 36, 58, 23]","['softmax', 'tanh', 'softmax', 'tanh', 'relu', 'tanh', 'softmax', 'relu']",,,,0.0,0.0,0.0
